Code,Product Name,Unit,Current Stock,Sales Scheme Deal,Sales Scheme Free,Purch Scheme Deal,Purch Scheme Free
it10306,1 AL 10 TAB 1.15,PCS,0,0,0,0,0
0000282,1 AL 5 TAB 50*10,PCS,115,0,0,0,0
0000348,1 AL M SYP 60ML,PCS,0,0,0,0,0
0000349,1 AL SYP 30ML,PCS,19,0,0,0,0
0000356,7-LA SUSP 200ML 1,PCS,5,0,0,0,0
0000357,99F 650 TAB 1*15,PCS,0,0,0,0,0
0000358,99F SUSP 60ML 1,PCS,0,0,0,0,0
0000228,ACCURATE ADVANCE KIT 1,PCS,901,0,0,0,0
it9477,ACCUTAZ AS INJ VIAL,PCS,66,0,0,0,0
it9286,ACCUTAZ HS INJ VIAL,PCS,0,0,0,0,0
it9285,ACCUTAZ PS INJ VIAL,PCS,0,0,0,0,0
it9535,ACCUZON + 1.5GM INJ VIAL,PCS,327,0,0,0,0
it9534,ACCUZON + 375 INJ VIAL,PCS,0,0,0,0,0
it10794,ACCUZON 125 INJ VIAL,PCS,135,0,0,0,0
it9362,ACCUZON 1GM INJ VIAL,PCS,75,0,0,0,0
it9361,ACCUZON 250 INJ VIAL,PCS,43,0,0,0,0
it9505,ACCUZON 500 INJ VIAL,PCS,75,0,0,0,0
0000656,ACECLO MR TAB 1*10,PCS,0,0,0,0,0
0000654,ACECLO PLUS TAB 1*15,PCS,0,0,0,0,0
0000655,ACECLO SERA TAB 1*10,PCS,0,5,1,0,0
it7187,ACFAST DPM TAB 1*10,PCS,55,0,0,10,1
it10873,ACILOC 150+ TAB 1*30,PCS,373,0,0,0,0
it10057,ACILOC 150MG TAB 30*30,PCS,5,0,0,11,1
it10061,ACILOC 300 TAB 30*20,PCS,0,0,0,11,1
it10545,ACILOC INJ 2ML,PCS,0,0,0,0,0
it10062,ACILOC ONLY SYP 100ML,PCS,17,0,0,0,0
it10063,ACILOC RD 20 TAB 24*15,PCS,139,0,0,11,1
it8513,ACTIBILE 150 TAB 1*10,PCS,0,0,0,5,1
it8514,ACTIBILE 300 TAB 1*10,PCS,0,0,0,5,1
it8515,ACTIBILE 75 TAB 1*10,PCS,30,0,0,0,0
it9654,ACTIHEAL D 1*10,PCS,0,0,0,0,0
it10795,ACUCLAV 1GM TAB 1*10,PCS,0,0,0,0,0
it9978,ACUCLAV 375 TAB 1*6,PCS,7,0,0,0,0
it9416,ACUCLAV 625 TAB 1*10,PCS,10,0,0,0,0
it9287,ACUCLAV DRY SYP 30ML,PCS,0,0,0,0,0
it9288,ACUCLAV DS DRY SYP 30ML,PCS,31,0,0,0,0
it9632,ACUCLAV IV 1.2 VIAL,PCS,31,1,1,0,0
it9289,ACUCLAV IV 150MG VIAL,PCS,70,1,1,0,0
it9290,ACUCLAV IV 300MG VIAL,PCS,97,1,1,0,0
it10796,ACUCLAV IV 600MG VAIL,PCS,6,0,0,0,0
it9648,ACUCLAV KID 1*10,PCS,10,0,0,0,0
it9476,ACUCORT 100 INJ VIAL,PCS,0,0,0,0,0
it9939,ACUPENEM 1 G VIAL VIAL,PCS,0,0,0,0,0
0000697,AFOGATRAN 110 CAP 1*10,PCS,10,0,0,0,0
0000170,AFOGLIP M 1000 TAB 1*15,PCS,0,0,0,0,0
0000171,AFOGLIP M 500 TAB 1*15,PCS,0,0,0,0,0
it9251,AFOGLIP TAB 1*10,PCS,9,0,0,0,0
it7897,AHAGLOW 50GM TUBE 50GM,PCS,0,0,0,0,0
it7189,AHAGLOW FACHWASH 100GM,PCS,0,0,0,0,0
it7190,AHAGLOW S SFRAY 60ML,PCS,0,0,0,0,0
it10051,AIRTEC FB 200 CAP 1,PCS,5,0,0,0,0
it9261,AIRTEC FB 400 CAP 1*30,PCS,15,0,0,0,0
it9510,AIRTEC SF 250 CAP 1*30,PCS,5,0,0,0,0
it9511,AIRTEC SF 500 CAP 1*30,PCS,7,0,0,0,0
it9984,AIRZ 25F CAP 1*30,PCS,10,0,0,0,0
